OBT:003381	fermented cheese
OBT:002017	enriched dough
OBT:002100	lean dough
OBT:003144	fermented cereal-based product
OBT:002417	crusty bread
OBT:002043	fresh cheese
OBT:003440	whey cheese
OBT:003406	brined cheese
OBT:002202	processed cheese
OBT:003448	feta
OBT:003432	streched curd cheese
OBT:003452	mozzarella
OBT:003444	caciocavallo
OBT:003456	ricotta
OBT:003443	brocciu
OBT:003457	schabziger
OBT:003428	ripened cheese
OBT:003459	soft cheese
OBT:003458	semi soft cheese
OBT:003450	hard cheese
OBT:003489	extra hard cheese
OBT:002319	American cheese
OBT:002633	velveeta
OBT:002329	The Laughing Cow
OBT:003561	fromage blanc
OBT:002568	quark
OBT:002408	cottage cheese
OBT:002393	chhena
OBT:002569	queso blanco
OBT:002570	queso fresco
OBT:003564	petit-suisse
OBT:003560	faisselle
OBT:003492	mould ripened cheese
OBT:003486	blue veined cheese
OBT:003496	Bleu
OBT:003518	Roquefort
OBT:003500	Camembert
OBT:003498	Brie
OBT:003501	Carré de l'est
OBT:003499	Buche de chèvre
OBT:003514	Parmesan
OBT:003495	Asiago
OBT:003517	Romano
OBT:003521	Sapsago
OBT:003523	Spalen
OBT:003469	Cheddar
OBT:003475	Granular
OBT:003467	Caciocavallo
OBT:003476	Gruyère
OBT:003470	Comté
OBT:003468	Cantal
OBT:003466	Brick cheese
OBT:003509	Limburger
OBT:003482	Trappist
OBT:003474	Gouda
OBT:003480	Raclette
OBT:003472	Fontina
OBT:003524	Stilton
OBT:003504	Gorgonzola
OBT:003502	Danablu
OBT:003497	Blue Wensleydate
OBT:003506	Hand cheese
OBT:003513	Neufchatel
OBT:003477	Laguiole
OBT:002325	Kiri
OBT:002320	Cancoillotte
OBT:002322	Crème de Brie de Meaux
OBT:003465	Beaufort
OBT:002359	beefsteak
OBT:003085	carpaccio
OBT:001960	cocoa
OBT:001963	cocoa butter
OBT:001964	cocoa powder
OBT:002729	nugget
OBT:001924	camel milk
OBT:002022	ewe milk
OBT:001918	buffalo milk
OBT:003143	fermented butter
OBT:001589	hand
OBT:002133	merguez
OBT:001952	chipolata
OBT:003253	chorizo
OBT:003563	salami
OBT:003562	fuet
OBT:003244	Morcela de Arroz
OBT:001858	algae as food
OBT:002501	laurel
OBT:002588	rosemary
OBT:002591	sage
OBT:002621	tarragon
OBT:002623	thyme
OBT:002374	broccoli
OBT:002375	brussel sprout as food
OBT:002384	cauliflower as food
OBT:002321	Chinese cabbage
OBT:002477	head cabbage
OBT:002460	garlic as food
OBT:002539	onion
OBT:002598	shallot
OBT:002347	aubergine
OBT:002350	baby corn
OBT:002410	courgette
OBT:002418	cucumber
OBT:002461	gherkin
OBT:002519	melon as food
OBT:002537	okra
OBT:002566	pumpkin
OBT:002617	sweet pepper
OBT:002625	tomato as food
OBT:002392	cherry tomato
OBT:002549	pear tomato
OBT:002559	plum tomato
OBT:002641	watermelon as food
OBT:002055	fungi as food
OBT:003250	cep
OBT:003254	common mushroom
OBT:003249	brown mushroom
OBT:003270	portobello mushroom
OBT:003267	morel
OBT:003275	truffle
OBT:002357	basil
OBT:002387	celery leaf
OBT:002388	chard
OBT:002398	chive
OBT:002438	escarole
OBT:002464	grape leaf
OBT:002506	lettuce
OBT:002528	mint
OBT:002545	parsley
OBT:002587	rocket
OBT:003347	tzatziki
OBT:002604	spinach
OBT:002639	watercress
OBT:002652	witloof
OBT:002361	beetroot
OBT:002382	carrot
OBT:002385	celeriac
OBT:002483	horseradish
OBT:002546	parsnip
OBT:002561	potato as food
OBT:002573	radish
OBT:002594	salsify
OBT:002615	swede
OBT:002618	sweet potato
OBT:002632	turnip
OBT:002656	yam
OBT:002345	artichoke
OBT:002346	asparagus
OBT:002352	bamboo shoot
OBT:002380	cardoon
OBT:002386	celery
OBT:002444	fennel
OBT:002504	leek
OBT:002543	palm heart
OBT:002579	rhubarb
OBT:001897	bean
OBT:002104	lentil
OBT:002175	pea
OBT:001665	nut
OBT:001859	almond as food
OBT:001965	coconut as food
OBT:002181	pecan
OBT:002189	pistachio
OBT:001961	cocoa bean
OBT:003158	olive as food
OBT:002177	peanut as food
OBT:001697	peanut and primary derivative thereof
OBT:002245	sesame oil
OBT:002246	sesame seed
OBT:002302	walnut
OBT:001838	walnut and primary derivative thereof
OBT:002303	walnut oil
OBT:002580	rice
OBT:001514	dark chocolate
OBT:002266	steak tartare
OBT:002048	fried rice
OBT:003412	dosa
OBT:002555	pico de gallo
OBT:001503	corn tortillas
OBT:002239	sashimi
OBT:003171	sushi
OBT:001942	ceviche
OBT:001565	fruit based dish
OBT:003166	sorbet
OBT:002031	fish sashimi
OBT:002131	meat sashimi
OBT:002185	pie
OBT:001969	compote
OBT:002052	fruit salad
OBT:002204	pudding
OBT:001906	blood sausage
OBT:002366	black pudding
OBT:002224	rice pudding
OBT:003185	cheesecake
OBT:001802	sugar confectionery
OBT:003134	cupcake
OBT:003242	éclair
OBT:003135	custard cake
OBT:001466	burger
OBT:002071	hamburger
OBT:001945	cheeseburger
OBT:002049	frikadeller
OBT:001638	meatball
OBT:002563	prawn
OBT:002095	lamb meat
OBT:002130	meat patty
OBT:000649	gram-positive
OBT:000648	gram-negative
OBT:000473	Neisser-positive
OBT:000472	Neisser-negative
OBT:000019	phenotype wrt metabolic activity
OBT:000060	catalase activity
OBT:000222	catalase positive
OBT:000221	catalase negative
OBT:000116	microscopic morphological phenotype
OBT:000025	physiological phenotype
OBT:000243	conjugating
OBT:000296	gram stain phenotype
OBT:000174	Neisser stain phenotype
OBT:000020	phenotype wrt morphology
OBT:000065	conjugation phenotype
OBT:001005	biofilm phenotype
OBT:000143	presence of quorum sensing
OBT:000142	presence of nanotube
OBT:000353	multicellular arrangement phenotype
OBT:000228	cellular shape phenotype
OBT:000848	rod-shaped
OBT:000563	coccobacillus
OBT:000850	round-shaped
OBT:000888	spiral-shaped
OBT:001329	spirillum
OBT:001330	spirochete
OBT:001043	comma-shaped
OBT:000892	stalked
OBT:000893	star-shaped
OBT:000817	pleomorphic
OBT:000891	square-shaped
OBT:000629	filamentous
OBT:000865	sheathed
OBT:000928	trichome forming
OBT:000064	colony morphology phenotype
OBT:000105	liquid culture morphology phenotype
OBT:000157	taxis phenotype
OBT:000182	aerotactic
OBT:000763	negative aerotactic
OBT:000821	positive aerotactic
OBT:000230	chemotactic
OBT:000822	positive chemotactic
OBT:000764	negative chemotactic
OBT:000369	osmotactic
OBT:000192	anemotactic
OBT:000207	barotactic
OBT:000262	durotactic
OBT:000265	electrotactic
OBT:000300	gravitactic
OBT:000317	hydrotactic
OBT:000335	magnetotactic
OBT:000387	phototactic
OBT:000409	rheotactic
OBT:000452	thermotactic
OBT:000454	thigmotactic
OBT:000295	gliding
OBT:000439	swarming
OBT:000440	swimming
OBT:000460	twitching
OBT:000015	phenotype wrt adhesion
OBT:000139	planktonic
OBT:000068	decarboxylase activity
OBT:000251	decarboxylase negative
OBT:000252	decarboxylase positive
OBT:000371	oxidase activity
OBT:000784	oxidase negative
OBT:000785	oxidase positive
OBT:002711	halotolerant
OBT:002883	acido tolerant
OBT:000128	phenotype wrt habitat osmolarity
OBT:000370	osmotolerant
OBT:000367	osmophile
OBT:000368	osmophobe
OBT:000018	phenotype wrt growth
OBT:000150	sporulating
